Περιοχή,Είδος,Κατάστημα,Νομός,Διεύθυνση,TK,Τηλέφωνα
ΑΜΥΓΔΑΛΙΑ (ΚΟΡΙΝΘΙΑΣ),ΔΠ,ΚΞ ΚΙΑΤΟ,ΚΟΡΙΝΘΟΥ,ΕΘΝΙΚΗΣ .ΑΝΤΙΣΤΑΣΕΩΣ 45,20014,27420-21090
ΑΜΥΓΔΑΛΙΑ (ΛΑΡΙΣΗΣ),ΔΠ,ΛΤ ΛΑΡΙΣΑ 2,ΛΑΡΙΣΗΣ,ΗΡΩΩΝ ΠΟΛΥΤΕΧΝΕΙΟΥ 60,41500,2410-619009
ΑΜΥΓΔΑΛΙΑ (ΛΑΣΙΘΙΟΥ),ΔΠ,ΑΝ ΑΓ.ΝΙΚΟΛΑΟΣ,ΛΑΣΙΘΙΟΥ,ΕΠΙΜΕΝΙΔΟΥ 30,72400,28410-24252
ΑΜΥΓΔΑΛΙΑ (ΦΩΚΙΔΟΣ),ΔΠ,ΑΦ ΑΜΦΙΣΣΑ,ΦΩΚΙΔΟΣ,Β.ΚΑΝΑΤΑ 1,33058,22650-79288
ΑΜΥΓΔΑΛΙΕΣ,,ΤΡ ΤΡΙΚΑΛΑ,ΤΡΙΚΑΛΩΝ,ΒΑΣ. ΤΣΙΤΣΑΝΗ 41,42132,24310-20081 & 24310-72646
ΑΜΥΓΔΑΛΙΕΣ (ΓΡΕΒΕΝΩΝ),,ΓΡ ΓΡΕΒΕΝΑ,ΓΡΕΒΕΝΩΝ,ΚΩΝΣΤΑΝΤΙΝΟΥ ΤΑΛΙΑΔΟΥΡΗ 60,51100,24620-87701
ΑΜΥΓΔΑΛΙΕΣ (ΗΛΕΙΑΣ),ΔΠ,ΠΥ ΠΥΡΓΟΣ,ΗΛΕΙΑΣ,Υψηλάντου 22,27061,26210-25791
ΑΜΥΓΔΑΛΙΤΣΑ,,ΝΠ ΝΑΥΠΛΙΟ,ΑΡΓΟΛΙΔΑΣ,ΧΑΡ. ΤΡΙΚΟΥΠΗ 1 & ΤΕΝΕΔΟΥ,21055,27520-96160
ΑΜΥΓΔΑΛΟΙ,ΔΠ,ΑΝ ΑΓ.ΝΙΚΟΛΑΟΣ,ΛΑΣΙΘΙΟΥ,ΕΠΙΜΕΝΙΔΟΥ 30,72400,28410-24252
ΑΜΥΓΔΑΛΟΚΕΦΑΛΙ,ΔΠ,ΧΝ ΧΑΝΙΑ (ΚΕΝΤΡΙΚΟ),ΧΑΝΙΩΝ,ΑΝΑΓΝ. ΓΟΓΟΝΗ 129,73400,28210-92520
ΑΜΥΓΔΑΛΟΛΑΚΚΟΣ,ΔΠ,ΑΝ ΑΓ.ΝΙΚΟΛΑΟΣ,ΛΑΣΙΘΙΟΥ,ΕΠΙΜΕΝΙΔΟΥ 30,72400,28410-24252
ΑΜΥΓΔΑΛΟΣ,ΔΠ,ΜΡ ΜΟΙΡΕΣ,ΗΡΑΚΛΕΙΟΥ,25ΗΣ ΜΑΡΤΙΟΥ 70  (ΕΝΑΝΤΙ ΗΡΩΟΥ),70010,28920-29147
ΑΜΥΚΛΕΣ,,ΣΠ ΣΠΑΡΤΗ,ΛΑΚΩΝΙΑΣ,ΛΕΩΝΙΔΟΥ 40,23150,27310-28403
ΑΜΥΝΤΑΙΟ,ΔΧ,ΜΥ ΑΜΥΝΤΑΙΟ,ΦΛΩΡΙΝΑΣ,28ου ΣΥΝΤΑΓΜΑΤΟΣ ΠΕΖΙΚΟΥ 14,53200,23860-23312
ΑΜΦΙΑ,ΔΠ,ΚΜ ΚΟΜΟΤΗΝΗ,ΡΟΔΟΠΗΣ,ΤΕΡΜΑ ΑΝΑΠΑΥΣΕΩΣ,69300,25310-73700 & 25310-84433
ΑΜΦΙΑΛΗ,,ΑΖ ΚΕΡΑΤΣΙΝΙ,ΑΤΤΙΚΗΣ,ΛΕΩΦ. ΔΗΜΟΚΡΑΤΙΑΣ 140,18758,210-4010030 & 210-4010032
ΑΜΦΙΘΕΑ,,ΙΝ ΙΩΑΝΝΙΝΑ,ΙΩΑΝΝΙΝΩΝ,ΔΩΔΩΝΗΣ 161,45500,26510-66966
ΑΜΦΙΘΕΑ,,ΛΡ ΛΑΡΙΣΑ 1,ΛΑΡΙΣΗΣ,ΒΕΛΛΗ 6,41500,2410-252460
ΑΜΦΙΘΕΑ,,ΒΒ ΝΕΑ ΣΜΥΡΝΗ,ΑΤΤΙΚΗΣ,ΕΛΕΥΘΕΡΙΟΥ ΒΕΝΙΖΕΛΟΥ 148,17564,210-9329555 & 210-9329559
ΑΜΦΙΘΕΑ (ΑΝΔΡΟΥΣΑΣ ΜΕΣΣΗΝΙΑΣ),ΔΠ,ΚΛ ΚΑΛΑΜΑΤΑ,ΜΕΣΣΗΝΙΑΣ,ΨΑΡΩΝ 94,24200,27210-88271
ΑΜΦΙΘΕΑ (ΑΡΤΑΣ),,ΑΡ ΑΡΤΑ,ΑΡΤΑΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΟΔΟΣ ΑΡΤΑΣ 55,47150,26810-79878 & 26810-24757
ΑΜΦΙΘΕΑ (ΔΩΡΙΟΥ ΜΕΣΣΗΝΙΑΣ),ΔΠ,ΚΛ ΚΑΛΑΜΑΤΑ,ΜΕΣΣΗΝΙΑΣ,ΨΑΡΩΝ 94,24011,27210-88271
ΑΜΦΙΘΕΑ (ΕΥΒΟΙΑΣ),ΔΠ,ΧΛ ΧΑΛΚΙΔΑ,ΕΥΒΟΙΑΣ,Γ. ΠΑΠΑΝΔΡΕΟΥ 4,34600,22210-73333 & 22210-21120
ΑΜΦΙΘΕΑ (ΚΟΡΙΝΘΙΑΣ),ΔΠ,ΚΞ ΚΙΑΤΟ,ΚΟΡΙΝΘΟΥ,ΕΘΝΙΚΗΣ .ΑΝΤΙΣΤΑΣΕΩΣ 45,20400,27420-21090
ΑΜΦΙΚΛΕΙΑ,ΔΠ,ΛΒ ΛΙΒΑΔΕΙΑ,ΒΟΙΩΤΙΑΣ,Δελφών 59,35002,22610-88933
ΑΜΦΙΛΟΧΙΑ,,ΜΦ ΑΜΦΙΛΟΧΙΑ,ΑΙΤΩΛ/ΝΙΑΣ,ΝΙΚΟΛΑΟΥ ΣΤΡΑΤΟΥ 59,30500,26420-29055
ΑΜΦΙΛΟΧΙΚΟ ΑΡΓΟΣ,,ΜΦ ΑΜΦΙΛΟΧΙΑ,ΑΙΤΩΛ/ΝΙΑΣ,ΝΙΚΟΛΑΟΥ ΣΤΡΑΤΟΥ 59,30500,26420-29055
ΑΜΦΙΠΟΛΗ,ΔΠ,ΣΡ ΣΕΡΡΕΣ,ΣΕΡΡΩΝ,ΒΕΝΙΖΕΛΟΥ 91,62041,23210-50889 & 23210-50887
ΑΜΦΙΣΣΑ,,ΑΦ ΑΜΦΙΣΣΑ,ΦΩΚΙΔΟΣ,Β.ΚΑΝΑΤΑ 1,33100,22650-79288
ΑΜΦΙΤΡΙΤΗ,,ΑΛ ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ,ΕΒΡΟΥ,ΝΙΚΟΜΗΔΕΙΑΣ & ΙΣΜΑΡΟΥ,68150,25510-31000
ΑΝΑΒΑΤΟΣ,ΔΠ,ΧΣ ΧΙΟΣ,ΧΙΟΥ,Καλουτά 28,82150,22710-25468
ΑΝΑΒΡΑ (ΚΑΡΔΙΤΣΑΣ),ΔΠ,ΚΑ ΚΑΡΔΙΤΣΑ,ΚΑΡΔΙΤΣΗΣ,ΚΑΡΑΙΣΚΑΚΗ 24,43063,24410-25983
ΑΝΑΒΡΑ (ΛΑΡΙΣΗΣ),ΔΠ,ΛΤ ΛΑΡΙΣΑ 2,ΛΑΡΙΣΗΣ,ΗΡΩΩΝ ΠΟΛΥΤΕΧΝΕΙΟΥ 60,40003,2410-619009
ΑΝΑΒΡΑ (ΜΑΓΝΗΣΙΑΣ),ΔΠ,ΒΛ ΒΟΛΟΣ,ΜΑΓΝΗΣΙΑΣ,Ιάσονος 1,35010,24210-36100
ΑΝΑΒΡΑ (ΦΘΙΩΤΙΔΑΣ),ΔΠ,ΛΜ ΛΑΜΙΑ,ΦΘΙΩΤΙΔΟΣ,ΘΕΡΜΟΠΥΛΩΝ 23,35009,22310-23901 & 22310-51553
ΑΝΑΒΡΥΤΑ,ΔΠ,ΓΡ ΓΡΕΒΕΝΑ,ΓΡΕΒΕΝΩΝ,ΚΩΝΣΤΑΝΤΙΝΟΥ ΤΑΛΙΑΔΟΥΡΗ 60,51100,24620-87701
ΑΝΑΒΡΥΤΑ,,ΑΚ ΜΑΡΟΥΣΙ,ΑΤΤΙΚΗΣ,ΑΡΤΕΜΙΔΟΣ 2 & Κ.ΑΙΤΩΛΟΥ 3,15126,216-1000500
ΑΝΑΒΡΥΤΗ (ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ),ΔΠ,ΝΑ ΝΑΥΠΑΚΤΟΣ,ΑΙΤΩΛ/ΝΙΑΣ,ΑΘΑΝΑΣΙΑΔΗ  ΝΟΒΑ 30,30300,26340-38666
ΑΝΑΒΡΥΤΗ (ΛΑΚΩΝΙΑΣ),ΔΠ,ΣΠ ΣΠΑΡΤΗ,ΛΑΚΩΝΙΑΣ,ΛΕΩΝΙΔΟΥ 40,23150,27310-28403
ΑΝΑΒΡΥΤΟ (ΑΡΚΑΔΙΑΣ),ΔΠ,ΤΙ ΤΡΙΠΟΛΗ,ΑΡΚΑΔΙΑΣ,ΕΛΕΥΘΕΡΙΟΥ ΒΕΝΙΖΕΛΟΥ 28,22200,2710-221806
ΑΝΑΒΡΥΤΟ (ΘΕΣΠΡΩΤΙΑΣ),ΔΠ,ΗΓ ΗΓΟΥΜΕΝΙΤΣΑ,ΘΕΣΠΡΩΤΙΑΣ,ΙΩΑΝΝΙΝΩΝ 1,46300,26650-28111 & 26650-22987
ΑΝΑΒΡΥΤΟ (ΚΙΛΚΙΣ),,ΚΙ ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,ΕΛΕΥΘΕΡΙΟΥ ΒΕΝΙΖΕΛΟΥ 40,61100,23410-29454
ΑΝΑΒΥΣΣΟΣ,,ΒΖ ΛΑΥΡΙΟ,ΑΤΤΙΚΗΣ,ΛΕΩΦ. ΑΘΗΝΩΝ 8-10,19013,22920-27555 & 22920-26980
ΑΝΑΓΕΝΝΗΣΗ,,ΑΒ ΧΑΙΔΑΡΙ,ΑΤΤΙΚΗΣ,ΛΕΩΦ. ΑΘΗΝΩΝ 281,12243,2177773700 & 210-5989984
ΑΝΑΓΕΝΝΗΣΗ,,ΘΕ ΕΥΚΑΡΠΙΑ,ΘΕΣΣΑΛΟΝΙΚΗΣ,"ΘΕΣΣΑΛΟΝΙΚΗΣ 110, ΩΡΑΙΟΚΑΣΤΡΟ",56436,2310-688955
ΑΝΑΓΕΝΝΗΣΗ (ΛΑΡΙΣΗΣ),,ΛΡ ΛΑΡΙΣΑ 1,ΛΑΡΙΣΗΣ,ΒΕΛΛΗ 6,41500,2410-252460
ΑΝΑΓΕΝΝΗΣΗ (ΣΕΡΡΩΝ),ΔΠ,ΣΡ ΣΕΡΡΕΣ,ΣΕΡΡΩΝ,ΒΕΝΙΖΕΛΟΥ 91,62400,23210-50889 & 23210-50887
ΑΝΑΚΑΣΑ,,ΒΘ ΑΓΙΟΙ ΑΝΑΡΓΥΡΟΙ,ΑΤΤΙΚΗΣ,ΚΥΠΡΟΥ 41 & ΑΡΕΤΗΣ,13562,210-2693523 & 210-2693553
ΑΝΑΚΑΣΙΑ,,ΒΛ ΒΟΛΟΣ,ΜΑΓΝΗΣΙΑΣ,Ιάσονος 1,38500,24210-36100
ΑΝΑΛΗΨΗ,,ΡΔ ΡΟΔΟΣ (ΚΕΝΤΡΙΚΟ),ΔΩΔ/ΝΗΣΟΥ,ΑΥΣΤΡΑΛΙΑΣ 60,85133,22410-27000 & 2241601510
ΑΝΑΛΗΨΗ,,ΑΖ ΚΕΡΑΤΣΙΝΙ,ΑΤΤΙΚΗΣ,ΛΕΩΦ. ΔΗΜΟΚΡΑΤΙΑΣ 140,18648,210-4010030 & 210-4010032
